record_id,Tarih,?? Emri No,?? Merkezi No,??merkezi Ad?,?? ?stasyon Ad?,Stok Ad?,Vardiya,A (Kullan?l?rl?k),P (Performans),Q (Kalite),OEE,Çal??ma Süresi,Duru? Süresi,Planl? Duru? Süresi,Plans?z Duru? Süresi,Üretilen Miktar,Hatal? Üretilen Miktar
1,11/5/2025,3027854094,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,,1,0,0,0,0,2.05,2.05,0,2.05,0,0
2,11/5/2025,3029724496,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,V710 BEV/PHEV MIC White Upper,2,100,141.87,100,141.87,3.38,0,0,0,3,0
3,11/5/2025,3022957153,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,V710 BEV/PHEV MIC White Upper,2,3.18,96.97,100,3.08,78.12,76.47,26.18,50.28,1,0
4,11/5/2025,3023963957,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V363 BEV Base GOR SUBASSY,2,36,76.31,100,27.47,83.45,59.53,17.02,42.52,15,0
5,11/5/2025,3027368108,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V363 BEV Base GOR SUBASSY,2,98.88,92.19,100,91.16,88.08,0.98,0,0.98,66,0
6,11/5/2025,3024777549,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V363 BEV Base GOR SUBASSY,2,100,95.25,100,95.25,31.93,0,0,0,25,0
7,11/5/2025,3025858146,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V363 BEV Base GOR SUBASSY,1,95.39,89.15,100,85.04,125.9,5.8,0,5.8,88,0
8,11/5/2025,3021488170,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V363 BEV Base GOR SUBASSY,1,97.87,92.52,100,90.55,117.82,6.03,3.6,2.43,85,0
9,11/5/2025,3024769613,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V363 BEV Base GOR SUBASSY,1,91.02,91.13,100,82.95,115.87,10.4,0,10.4,79,0
10,11/5/2025,3022957071,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V363 BEV Base GOR SUBASSY,1,100,44.51,100,44.51,2.73,0,0,0,1,0
11,11/5/2025,3021147733,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V363 BEV Base GOR SUBASSY,1,92.16,92.59,100,85.33,115.48,9.05,0,9.05,81,0
12,11/5/2025,3022680743,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V363 BEV Base GOR SUBASSY,1,100,110.61,100,110.61,2.2,0,0,0,2,0
13,11/5/2025,3023628827,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,J74 UPPER FASCIA MIC WHITE,2,100,99.71,100,99.71,34.17,0,0,0,56,0
14,11/5/2025,3029618677,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,J74 UPPER FASCIA MIC WHITE,2,81.1,102.48,100,83.11,87.83,16.6,0,16.6,120,0
15,11/5/2025,3026083203,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,J74 UPPER FASCIA MIC WHITE,2,100,99.29,100,99.29,63.72,0,0,0,104,0
16,11/5/2025,3027348944,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,J74 UPPER FASCIA MIC WHITE,2,71.35,95.75,100,68.32,67.67,19.38,0,19.38,76,0
17,11/5/2025,3027795573,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,J74 UPPER FASCIA MIC WHITE,2,97.08,97.22,100,94.38,29.65,0.87,0,0.87,46,0
18,11/5/2025,3026471383,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,J74 UPPER FASCIA MIC WHITE,2,0,0,105,0,13.52,13.52,0,13.52,0,0
19,11/5/2025,3027011014,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,J74 UPPER FASCIA MIC WHITE,,8.98,74.49,100,6.69,72.73,66.2,0,66.2,8,0
20,11/5/2025,3022234021,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,J74 REINFORCEMENT Non-Camera,3,100,95.74,100,95.74,131.02,0,0,0,212,0
21,11/5/2025,3026684471,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,J74 REINFORCEMENT Non-Camera,3,0,0,0,0,112.27,112.27,112.27,0,0,0
